연번,상호명,업종,연락처,자치구,소재지,판매메뉴
755,에베레스트 (종로),인도/중동,02-766-8850,종로구,서울 종로구 종로51가길 2-1,"샤이 파니르(락토), 카다히 파니르(락토), 알루 머터(비건), 알루 고비(비건), 믹스 베지(락토,비건가능), 달 마카니(락토), 달 프라이(비건), 베지터블 브리야니(비건)"
756,에이투지카페 (SFC),양식,02-318-5129,중구,서울 중구 세종대로 136,슈퍼베지 샐러드(비건)
757,엔와이84.8,양식,02-790-9103,용산구,서울 용산구 한강대로 268,"카프레제(락토), 리코타치즈 샐러드(락토), 연어 샐러드(페스코), 머슈룸 파니니(락토), 토마토 모짜렐라 파니니(락토), 고르곤 졸라 파니니(락토), 토마토 모짜렐라 샌드위치(락토), 리코타치즈 샌드위치(락토), 감자스프(락토), 단호박스프(락토)"
758,엔조,양식,02-875-0807,관악구,서울 관악구 관악로 154 대도빌딩,"알리오 올리오(일반식,비건가능), 시푸드 비앙코(페스코), 시푸드 토마토(페스코), 감베로니(페스코), 그린 샐러드(비건)"
759,엘리펀트키친,술집,02-878-0077,관악구,서울 관악구 관악로14길 15,"오리지널 프라이즈(비건), 트러플소스&머쉬룸피자(락토오보), 리코타치즈샐러드피자(락토오보), 감바스 알 아히요(페스코)"
760,역삼정,한식,02-539-7107,강남구,서울 강남구 역삼로19길 31,"순두부찌개(일반식,비건가능), 청국장(일반식,비건가능), 부추된장비빔밥(일반식,비건가능)"
761,연우김밥,분식,02-323-0065,마포구,서울 마포구 와우산로 31,"꽃나물김밥(오보,비건가능), 유부김밥(일반식,비건가능)"
762,연우김밥 (성산),분식,02-336-4522,마포구,서울 마포구 성미산로 17,"꽃나물김밥(오보,비건가능), 유부김밥(일반식,비건가능)"
763,열매정원,양식,0507-1325-3025,송파구,서울 송파구 석촌호수로 135 상가a동 2층 208호,"시그니처보울샐러드(비건),치아바타샌드위치(락토),아보카도바나나주스(비건),착즙주스(비건)"
764,옛살비 강된장,한식,02-2244-3995,동대문구,서울 동대문구 전농로 38,옛살비강된장 새싹채식비빔밥(비건)
765,오곡당,한식,02-564-5111,강남구,서울 강남구 테헤란로19길 19,"산채비빔밥(비건), 비빔모밀(비건), 해물파전(페스코,비건가능)"
766,오샬 (커리146),인도/중동,,성북구,서울 성북구 고려대로24길 6,"차나달 커리(비건), 팔락 파니르(락토), 야채 꼬르마(락토)"
767,오세계향,한식,02-735-7171,종로구,서울 종로구 인사동12길 14-5,"국산콩 순두부 강된장 비빔밥(비건), 비건스테이크 정식(비건), 비건까스 정식(비건), 순한 순두부찌개(비건), 매운 순두부찌개(비건), 비지찌개(비건), 옛날된장찌개(비건), 두개장(비건), 된장들깨시래기찜(비건), 우엉들깨탕(비건), 곤드레 강된장 비빔밥(비건), 불구이뚝배기(비건), 불구이덮밥(비건), 불구이쌈밥(비건), 현미불구이쌈밥(비건), 중화볶음우동(비건), 채식짬뽕(비건), 채식자장면(비건), 볶음쌀국수(비건), 쌀국수(비건), 중화버섯탕면(비건), 들깨국수(비건), 매실탕수채(비건), 유린기(비건), 누룽지탕(비건), 버섯전골(비건), 그린샐러드(비건), 단호박찜(비건), 우리밀튀김만두(비건), 표고버섯말이(비건), 콩국수(비건), 물냉면(비건), 비빔냉면(비건), 우리밀손만두탕수(비건)"
768,옥루몽 (신촌본점),한식,02-312-0015,서대문구,서울 서대문구 연대동문길 18,"팥죽(비건),단호박죽 (비건)"
769,옥루몽 (어린이 대공원점),한식,02-466-9700,광진구,서울 광진구 능동로 183,"팥죽(비건),단호박죽 (비건)"
770,온더보더 (광화문D타워),양식,02-2251-8282,종로구,서울 종로구 종로3길 17,"BYO(일반식,비건가능), 비건 드레싱: 스모크드 할라피뇨 비네가(비건), 하우스샐러드(락토,비건가능), 구아카몰 라이브(비건), 구아카몰 볼(비건), 보더볼(일반식,비건가능)"
771,온더보더 (롯데몰김포공항),양식,02-6116-5182,강서구,서울 강서구 하늘길 38,"BYO(일반식,비건가능), 비건 드레싱: 스모크드 할라피뇨 비네가(비건), 하우스샐러드(락토,비건가능), 구아카몰 라이브(비건), 구아카몰 볼(비건), 보더볼(일반식,비건가능)"
772,온더보더 (롯데월드몰),양식,02-3213-4615,송파구,서울 송파구 올림픽로 300,"BYO(일반식,비건가능), 비건 드레싱: 스모크드 할라피뇨 비네가(비건), 하우스샐러드(락토,비건가능), 구아카몰 라이브(비건), 구아카몰 볼(비건), 보더볼(일반식,비건가능)"
773,온더보더 (여의도IFC),양식,02-6137-5682,영등포구,서울 영등포구 국제금융로 10,"BYO(일반식,비건가능), 비건 드레싱: 스모크드 할라피뇨 비네가(비건), 하우스샐러드(락토,비건가능), 구아카몰 라이브(비건), 구아카몰 볼(비건), 보더볼(일반식,비건가능)"
774,온더보더 (이태원),양식,02-792-0682,용산구,서울 용산구 이태원로 211,"BYO(일반식,비건가능), 비건 드레싱: 스모크드 할라피뇨 비네가(비건), 하우스샐러드(락토,비건가능), 구아카몰 라이브(비건), 구아카몰 볼(비건), 보더볼(일반식,비건가능)"
775,온더보더 (코엑스도심공항),양식,02-565-0682,강남구,서울 강남구 테헤란로87길 22,"BYO(일반식,비건가능), 비건 드레싱: 스모크드 할라피뇨 비네가(비건), 하우스샐러드(락토,비건가능), 구아카몰 라이브(비건), 구아카몰 볼(비건), 보더볼(일반식,비건가능)"
776,온더보더 (타임스퀘어),양식,02-2672-0682,영등포구,서울 영등포구 영중로 15,"BYO(일반식,비건가능), 비건 드레싱: 스모크드 할라피뇨 비네가(비건), 하우스샐러드(락토,비건가능), 구아카몰 라이브(비건), 구아카몰 볼(비건), 보더볼(일반식,비건가능)"
777,온마을,한식,02-738-4231,종로구,서울 종로구 삼청로 127,들깨야채 전골(비건)
778,올드델리 (노원),인도/중동,02-935-6689,노원구,서울 노원구 노해로85길 14,"짜나마실라(비건), 옐로우 달(비건), 머떠 머쉬룸(비건), 모듬야채커리(락토오보), 머떠 파니르(락토오보), 알로 팔락(비건), 팔락 파니르(락토오보), 파니르 믐다즈(락토오보), 파니르 티카 카다히(락토오보), 베지터블 비리야니(락토오보)"
779,올드델리 (수유),인도/중동,02-907-6688,강북구,서울 강북구 도봉로 355,"짜나마실라(비건), 옐로우 달(비건), 머떠 머쉬룸(비건), 모듬야채커리(락토오보), 머떠 파니르(락토오보), 알로 팔락(비건), 팔락 파니르(락토오보), 파니르 믐다즈(락토오보), 파니르 티카 카다히(락토오보), 베지터블 비리야니(락토오보)"
780,완차이,중식,02-392-0302,서대문구,서울 서대문구 명물길 50-7,"간짜장(일반식,비건가능), 짜오판(페스코), 해물 볶음밥(페스코,비건가능)"
781,왓어바웃 롤,일식,070-7707-5145,강남구,서울 강남구 학동로43길 38,비건쉬림프 템뿌라롤 (비건)
782,왕타이,동남아,02-749-2746,용산구,서울 용산구 이태원로 151,"얌 운 센 제이(비건), 톰 카 햇(비건), 깽 펫 팍 루엄(비건), 깽 끼-완 팍 루엄(비건), 팍 루엄 팥 프릭 킹(비건), 팍 루엄 팥 메드 마멍(비건), 팍 루엄 팥 쁘리어 완(비건), 팥 팍 루엄(비건), 팥 투엉 억(비건), 팥 타이 제이(비건), 팥 씨-우 제이(비건)"
783,요띠드,양식,070-7633-2500,동대문구,서울 동대문구 천장산로7길 26-2,"베지 또띠아(락토오보,비건가능), 갈릭 또띠아(락토오보), 아마존(락토), 썬라이즈(락토), 코스모스(락토)"
784,요요의 부엌,양식,0507-1387-0616,강북구,서울 강북구 한천로 1163 2층,두부 샐러드 (비건)
785,우부래도,카페,070-7543-0599,동작구,서울특별시 동작구 상도로37길 3,"소이 라떼(비건), 가지덮밥(비건), 소보로 덮밥(비건), 너비아니불구이 덮밥(비건), 라이스 스테이크(비건), 유린기 샐러드(비건), 유린기(비건), 너비아니(비건), 깐풍기(비건), 치킨강정(비건), 비건 베이커리(비건)"
786,원더로우,카페,010-5170-7847,관악구,서울시 관악구 관악로12길 105,"비건 티라미수(비건), 비건 머핀(비건), 비건 흑미스콘(비건), 수제 콤부차(비건)"
787,원슈가데이,양식,02-355-0536,은평구,서울 은평구 연서로 455,"토마토 스튜(비건), OSD 샌드위치(비건), Agra 샌드위치(비건), 루꼴라 샐러드(비건), 오늘의 수프(락토,비건가능), 비건 라자냐(비건)"
788,위샐러듀,양식,02-363-0113,서대문구,서울 서대문구 이화여대길 52-31,"노바(비건), 징거(페스코), 마끌루바 노바(비건), 써니(락토오보,비건가능), 솔로몬(페스코), 훔스(락토,비건가능), 풀문(비건), 루나(비건)"
789,이드,한식,070-8899-8210,용산구,서울 용산구 우사단로10길 67,"야채볶음밥(비건),야채비빔밥(비건)"
790,이뮤 베이크샵,베이커리,0507-1366-7665,마포구,서울 마포구 양화로6길 57-13 2층 202호,소이초코라떼(비건)
791,이밥,한식,02-744-2325,종로구,서울 종로구 창덕궁1길 29,"연잎주먹밥(비건), 취나물견과류 주먹밥(비건), 버섯톳 주먹밥(비건)"
792,이웃집 영준이,술집,010-8220-2804,용산구,서울 용산구 한강대로87길 7-6,"버섯전골(비건), 가지튀김(비건), 버섯탕수(비건), 설탕 토마토(비건), 카프레제(락토), 황도(비건)"
793,이찌밥,분식,02-363-7090,중구,서울 중구 서소문로 38,"야채 주먹밥(비건), 귀리 주먹밥(페스코)"
794,이탈리안 비스트로 쿠오레,양식,02-951-0307,노원구,서울 노원구 동일로218길 29 204호,"야채 오일 스파게티(일반식,비건가능), 알리오 올리오(일반식,비건가능), 버섯 크림 스파게티(일반식,락토가능), 까르보나라(일반식,락토가능)"
795,이화성,중식,0507-0493-5846,서대문구,서울 서대문구 이화여대길 50-8,"간짜장(일반식,비건가능)"
796,인도야시장,인도/중동,02-553-4568,강남구,서울 강남구 강남대로96길 11-4,"파니르 마크니(락토), 팔락 파니르(락토), 알루 팔락(비건), 알루 고비(비건), 머쉬룸 마살라(비건), 믹스트 베지터블(비건), 달 마크니(락토), 달 프라이(비건), 그린 샐러드(비건), 파니르 샐러드(락토), 사모사(비건), 스프링롤(비건), 파코라(비건), 프렌치프라이(비건), 스파이시 프렌치프라이(비건), 사모사 짜트(락토), 타와 알루 짜트(락토), 티끼 플래터(비건), 믹스할디람 과자(비건), 베지터블 풀라오(비건), 로띠(비건)"
797,인딕슬로우 (송파),양식,02-423-0100,송파구,서울 송파구 백제고분로45길 28 벤도치빌딩2층,"흑임자 머쉬룸&가지 피자(일반식,비건가능), 오늘의 과일 피자(락토), 베지터블 머쉬룸 삭(락토,비건가능)"
798,잇스파이스,동남아,0507-1323-8754,서초구,서울 서초구 서초대로77길 7 서초빌딩 2층,"쏨땀(페스코,비건가능),팟타이(페스코,비건가능),반세오(페스코,비건가능),라우뭉싸우또이(페스코,비건가능)"
799,잇츠 파스타,양식,0507-1433-2122,은평구,서울 은평구 은평로 193 1층 103호,"잇츠 샐러드(오보), 감자튀김(비건), 알리오올리오(일반식,비건가능)"
800,잇파스타,양식,0507-1366-7333,양천구,서울 양천구 은행정로3길 3-1,"토마토리조또(락토), 야채 필라프(비건), 버섯 필라프(비건), 샐러드(오보)"
801,자연밥상,한식,02-960-4369,동대문구,서울 동대문구 천장산로 39,"들깨장비빔밥(비건),두부비빔밥(일반식,비건가능)"
802,자하손만두,한식,02-379-2648,종로구,서울 종로구 백석동길 12,"손만두(비건), 엄나무순 만두(비건), 엄나무순 조랭이 콩국(비건), 빈대떡(비건), 잣죽(비건)"
803,작은인디아 (리틀인디아),인도/중동,02-730-5528,종로구,서울 종로구 인사동길 27,"알루 팔락(비건), 알루 고비(비건), 알루 지라(비건), 베지터블 도 피아자(비건), 바왈리 한디(비건), 달 타드카(비건), 달 하리얄리(비건), 달 마크니(비건), 야채 플라우(비건), 사모사(비건), (락토,비건가능), (락토,비건가능), (락토,비건가능), (락토,비건가능), (락토), 차이(비건), 라씨(락토), 과일라씨(락토), 병아리콩커리(락토,비건가능), 야채 커리(락토,비건가능), 야채 볶음밥(락토,비건가능), 병아리콩 마살라(락토,비건가능)"
804,작지만 카페,카페,0507-1387-8859,노원구,서울 노원구 동일로 237가길 56 101호,단호박 크럼블(비건)
805,재동순두부,한식,02-747-0011,종로구,서울 종로구 북촌로2길 6,"초당순두부(비건), 해물순두부(페스코), 돌솥비빔밥(비건), 돌솥비빔밥(오보), 비빔밥(오보), 콩국수(오보)"
806,전골떡볶이 덕미가,분식,02-313-0058,서대문구,서울 서대문구 이화여대길 26,"토마토 (일반식,비건가능), 버섯야채 (일반식,비건가능)"
807,전환마을 부엌밥풀꽃,한식,02-387-1129,은평구,서울 은평구 연서로15길 8,"토마토 카레(비건), 풀꽃비빔밥(비건), 버섯잡채밥(비건), 된장덮밥(비건), 도모다(비건)"
808,정선부뚜막,한식,02-499-8253,성동구,서울 성동구 서울숲6길 14,"곤드레밥상(페스코,비건가능)"
809,제로비건,한식,,송파구,서울시 송파구 올림픽로 240 롯데마트 잠실점 6층 먹리단길,"칼칼 채수해장국(비건), 노루궁뎅이 보양해장국(비건), 토마토해장국(비건), 물냉면(비건), 비빔냉면(비건), 느타리버섯두루치기(비건), 무조림비빔밥(비건), 새송이강정(비건)"
810,죠샌드위치 (고려대구로병원),양식,02-858-0901,구로구,서울 구로구 구로동로 148 본관 지하1층,"두부 샐러드 빠네디까사(비건), 머쉬룸 샐러드 빠네띠까사(비건), 치즈머쉬룸 빠네디까사(락토), 발사믹잭치즈 빠네디까사(락토), 에그아보카도 빠네띠까사(오보)"
811,죠샌드위치 (고속터미널),양식,02-536-1090,서초구,서울 서초구 신반포로 194 1층,"두부 샐러드 빠네디까사(비건), 머쉬룸 샐러드 빠네띠까사(비건), 치즈머쉬룸 빠네디까사(락토), 발사믹잭치즈 빠네디까사(락토), 에그아보카도 빠네띠까사(오보)"
812,죠샌드위치 (광장동),양식,02-2201-9121,광진구,서울 광진구 광나루로 604 1층 105호,"두부 샐러드 빠네디까사(비건), 머쉬룸 샐러드 빠네띠까사(비건), 치즈머쉬룸 빠네디까사(락토), 발사믹잭치즈 빠네디까사(락토), 에그아보카도 빠네띠까사(오보)"
813,죠샌드위치 (교대역),양식,0507-1324-6153,서초구,서울 서초구 사임당로17길 101 1층,"두부 샐러드 빠네디까사(비건), 머쉬룸 샐러드 빠네띠까사(비건), 치즈머쉬룸 빠네디까사(락토), 발사믹잭치즈 빠네디까사(락토), 에그아보카도 빠네띠까사(오보)"
814,죠샌드위치 (구로디지털단지),양식,0507-1440-0293,구로구,서울 구로구 디지털로26길 110 1층 6103호,"두부 샐러드 빠네디까사(비건), 머쉬룸 샐러드 빠네띠까사(비건), 치즈머쉬룸 빠네디까사(락토), 발사믹잭치즈 빠네디까사(락토), 에그아보카도 빠네띠까사(오보)"
815,죠샌드위치 (남산스테이트타워),양식,02-6020-5934,중구,서울 중구 퇴계로 100 B1층,"두부 샐러드 빠네디까사(비건), 머쉬룸 샐러드 빠네띠까사(비건), 치즈머쉬룸 빠네디까사(락토), 발사믹잭치즈 빠네디까사(락토), 에그아보카도 빠네띠까사(오보)"
816,죠샌드위치 (논현학사),양식,02-516-7776,강남구,서울 강남구 도산대로24길 15,"두부 샐러드 빠네디까사(비건), 머쉬룸 샐러드 빠네띠까사(비건), 치즈머쉬룸 빠네디까사(락토), 발사믹잭치즈 빠네디까사(락토), 에그아보카도 빠네띠까사(오보)"
817,죠샌드위치 (대치사거리),양식,02-555-6535,강남구,서울 강남구 삼성로 345,"두부 샐러드 빠네디까사(비건), 머쉬룸 샐러드 빠네띠까사(비건), 치즈머쉬룸 빠네디까사(락토), 발사믹잭치즈 빠네디까사(락토), 에그아보카도 빠네띠까사(오보)"
818,죠샌드위치 (도곡렉슬),양식,02-575-0212,강남구,서울 강남구 선릉로 225,"두부 샐러드 빠네디까사(비건), 머쉬룸 샐러드 빠네띠까사(비건), 치즈머쉬룸 빠네디까사(락토), 발사믹잭치즈 빠네디까사(락토), 에그아보카도 빠네띠까사(오보)"
819,죠샌드위치 (도봉한신),양식,02-954-1778,도봉구,서울 도봉구 도봉로180나길 41,"두부 샐러드 빠네디까사(비건), 머쉬룸 샐러드 빠네띠까사(비건), 치즈머쉬룸 빠네디까사(락토), 발사믹잭치즈 빠네디까사(락토), 에그아보카도 빠네띠까사(오보)"
820,죠샌드위치 (독립문역),양식,02-730-0314,종로구,서울 종로구 통일로 230 124호,"두부 샐러드 빠네디까사(비건), 머쉬룸 샐러드 빠네띠까사(비건), 치즈머쉬룸 빠네디까사(락토), 발사믹잭치즈 빠네디까사(락토), 에그아보카도 빠네띠까사(오보)"
821,죠샌드위치 (마곡),양식,02-3661-2244,강서구,서울 강서구 공항대로 195 힐스테이트 에코동익 상가 1층,"두부 샐러드 빠네디까사(비건), 머쉬룸 샐러드 빠네띠까사(비건), 치즈머쉬룸 빠네디까사(락토), 발사믹잭치즈 빠네디까사(락토), 에그아보카도 빠네띠까사(오보)"
822,죠샌드위치 (문래GS홈쇼핑),양식,02-6085-1122,영등포구,서울 영등포구 선유로 71 문래임광그대가,"두부 샐러드 빠네디까사(비건), 머쉬룸 샐러드 빠네띠까사(비건), 치즈머쉬룸 빠네디까사(락토), 발사믹잭치즈 빠네디까사(락토), 에그아보카도 빠네띠까사(오보)"
823,죠샌드위치 (문정법조타운),양식,0507-1445-0286,송파구,서울 송파구 법원로11길 25 H비지니스파크 A-117호,"두부 샐러드 빠네디까사(비건), 머쉬룸 샐러드 빠네띠까사(비건), 치즈머쉬룸 빠네디까사(락토), 발사믹잭치즈 빠네디까사(락토), 에그아보카도 빠네띠까사(오보)"
824,죠샌드위치 (반포),양식,02-533-4433,서초구,서울 서초구 서초중앙로 217 대동빌딩,"두부 샐러드 빠네디까사(비건), 머쉬룸 샐러드 빠네띠까사(비건), 치즈머쉬룸 빠네디까사(락토), 발사믹잭치즈 빠네디까사(락토), 에그아보카도 빠네띠까사(오보)"
825,죠샌드위치 (방배),양식,02-593-3999,서초구,서울 서초구 방배중앙로 204 금호리첸시아 103호,"두부 샐러드 빠네디까사(비건), 머쉬룸 샐러드 빠네띠까사(비건), 치즈머쉬룸 빠네디까사(락토), 발사믹잭치즈 빠네디까사(락토), 에그아보카도 빠네띠까사(오보)"
826,죠샌드위치 (삼성2호),양식,0507-1397-7576,강남구,서울 강남구 테헤란로82길 11,"두부 샐러드 빠네디까사(비건), 머쉬룸 샐러드 빠네띠까사(비건), 치즈머쉬룸 빠네디까사(락토), 발사믹잭치즈 빠네디까사(락토), 에그아보카도 빠네띠까사(오보)"
827,죠샌드위치 (선릉),양식,02-562-3001,강남구,서울 강남구 테헤란로77길 13 창조빌딩 1층,"두부 샐러드 빠네디까사(비건), 머쉬룸 샐러드 빠네띠까사(비건), 치즈머쉬룸 빠네디까사(락토), 발사믹잭치즈 빠네디까사(락토), 에그아보카도 빠네띠까사(오보)"
828,죠샌드위치 (센터원),양식,02-6030-8583,중구,서울 중구 을지로5길 26 지하1층 푸드코트 8호,"두부 샐러드 빠네디까사(비건), 머쉬룸 샐러드 빠네띠까사(비건), 치즈머쉬룸 빠네디까사(락토), 발사믹잭치즈 빠네디까사(락토), 에그아보카도 빠네띠까사(오보)"
829,죠샌드위치 (시립대),양식,02-3390-4263,동대문구,서울 동대문구 서울시립대로 147 우성빌딩 1층 103호 죠샌드위치,"두부 샐러드 빠네디까사(비건), 머쉬룸 샐러드 빠네띠까사(비건), 치즈머쉬룸 빠네디까사(락토), 발사믹잭치즈 빠네디까사(락토), 에그아보카도 빠네띠까사(오보)"
830,죠샌드위치 (압구정),양식,02-545-5455,강남구,서울 강남구 논현로159길 11,"두부 샐러드 빠네디까사(비건), 머쉬룸 샐러드 빠네띠까사(비건), 치즈머쉬룸 빠네디까사(락토), 발사믹잭치즈 빠네디까사(락토), 에그아보카도 빠네띠까사(오보)"
831,죠샌드위치 (오토갤러리),양식,,서초구,서울 서초구 양재대로11길 36,"두부 샐러드 빠네디까사(비건), 머쉬룸 샐러드 빠네띠까사(비건), 치즈머쉬룸 빠네디까사(락토), 발사믹잭치즈 빠네디까사(락토), 에그아보카도 빠네띠까사(오보)"
832,죠샌드위치 (의주로),양식,02-6399-6399,중구,서울 중구 통일로 86 바비엥3,"두부 샐러드 빠네디까사(비건), 머쉬룸 샐러드 빠네띠까사(비건), 치즈머쉬룸 빠네디까사(락토), 발사믹잭치즈 빠네디까사(락토), 에그아보카도 빠네띠까사(오보)"
833,죠샌드위치 (이수역),양식,02-582-1800,동작구,서울 동작구 동작대로23길 12,"두부 샐러드 빠네디까사(비건), 머쉬룸 샐러드 빠네띠까사(비건), 치즈머쉬룸 빠네디까사(락토), 발사믹잭치즈 빠네디까사(락토), 에그아보카도 빠네띠까사(오보)"
834,죠샌드위치 (일원역),양식,0507-1305-5350,강남구,서울 강남구 일원로 115 120호 죠샌드위치,"두부 샐러드 빠네디까사(비건), 머쉬룸 샐러드 빠네띠까사(비건), 치즈머쉬룸 빠네디까사(락토), 발사믹잭치즈 빠네디까사(락토), 에그아보카도 빠네띠까사(오보)"
835,죠샌드위치 (잠실엘스),양식,02-2202-3487,송파구,서울 송파구 올림픽로 119 잠실파인애플상가,"두부 샐러드 빠네디까사(비건), 머쉬룸 샐러드 빠네띠까사(비건), 치즈머쉬룸 빠네디까사(락토), 발사믹잭치즈 빠네디까사(락토), 에그아보카도 빠네띠까사(오보)"
836,죠샌드위치 (포스코사거리),양식,02-557-2541,강남구,서울 강남구 삼성로85길 42 대치동대우아이빌멤버스,"두부 샐러드 빠네디까사(비건), 머쉬룸 샐러드 빠네띠까사(비건), 치즈머쉬룸 빠네디까사(락토), 발사믹잭치즈 빠네디까사(락토), 에그아보카도 빠네띠까사(오보)"
837,죠샌드위치 (학동디오빌),양식,0507-1315-3527,강남구,서울 강남구 학동로 165 1층  103호,"두부 샐러드 빠네디까사(비건), 머쉬룸 샐러드 빠네띠까사(비건), 치즈머쉬룸 빠네디까사(락토), 발사믹잭치즈 빠네디까사(락토), 에그아보카도 빠네띠까사(오보)"
838,죠샌드위치 (현대백화점 천호),양식,02-2225-8849,강동구,서울 강동구 천호대로 1005 현대백화점 천호점,"두부 샐러드 빠네디까사(비건), 머쉬룸 샐러드 빠네띠까사(비건), 치즈머쉬룸 빠네디까사(락토), 발사믹잭치즈 빠네디까사(락토), 에그아보카도 빠네띠까사(오보)"
839,지금 여기가 맨 앞,양식,0507-1346-3759,중구,서울 중구 을지로20길 16 3층,"나물 듬뿍 파스타(락토,비건가능), 풍기 파스타(락토), 라구 떡볶이(비건), 바질 크림 리조또(락토,비건가능), 베지터블 피자(비건)"
840,지니네컵밥,한식,010-9073-8440,서대문구,서울 서대문구 신촌역로 22-5,"야채컵밥(페스코,비건가능)"
841,지속,베이커리,0507-1442-7907,광진구,서울특별시 광진구 동일로20길 20,피넛버터브라우니(비건)
842,지화자,한식,02-2269-5834,종로구,서울 종로구 자하문로 125,비건코스요리(비건)
843,차호로록,한식,02-2676-4689,영등포구,서울 영등포구 국회대로36길 3,"부지깽이 나물밥+호밤범벅+차(비건), 흑미연잎밥+호박범벅+차(비건), 지리산대나무통영양밥+호박범벅+차(비건), 부지깽이 나물밥+차(비건), 호박범벅+차(비건), 노릇노릇 호박전(비건)"
844,채식주의자,양식,02-722-1810,종로구,서울특별시 종로구 자하문로13길 4-7,"파인애플 무스 케이크(비건), 비트 퀴노아 후무스 김밥(비건), 비건 라자냐(비건), 다크초콜릿 코코넛크림 케이크(비건)"
845,천년식향 & 델리,양식,010-6323-7231,서초구,서울 서초구 효령로 316-1 3층,"스파이시 로제 & 갈비 쌈(비건), 세가지 식감의 토마토(비건), 숙성 흑마늘과 감자(비건), 버섯 크리머리(비건), 스페셜 피자(비건), 갓 구운 유기농 스콘 & 버터크림(비건), 16개의 까나페 테이스팅 메뉴(비건), 비건새우 아보카도(비건), 국산콩 두부 스크램블(비건), 유기농 당근 된장 비건버터구이와 아몬드 리코타(비건), 발로나 초콜릿 케이크(비건), 카페라떼(비건), 호지차 아이스크림 & 된장(비건), 와인 1잔(비건), Sex & Steak(비건), Shrimp & Avocado(비건), Tofu or Egg?(비건), Meat Lovers` Organic Carrot(비건)"
846,초록뜰,한식,02-2213-1878,동대문구,서울 동대문구 망우로18길 6,"해죽순 들깨 칼국수(비건), 해죽순 야채 칼국수(비건), 해죽순 팥 칼국수(비건), 옹심이 팥죽(비건), 쌀국수(비건), 물냉면(비건), 냉 묵사발(비건), 만두떡국(비건), 현미 야채만두(비건), 버섯전골(비건), 사리(비건), 두부두루치기(비건), 7곡 연잎밥(비건), 묵밥 (비건), 만두범벅(비건), 모두부(비건), 버섯탕수(비건), 연잎밥(비건), 누룽지쌀국수(비건), 현미 김치만두(비건), 야채만두(비건), 김치만두(비건), 견과모듬 (비건)"
847,충칭호모두샤브샤브 (홍대),중식,02-332-6065,마포구,서울 마포구 홍익로6길 46 2층,"마라탕(일반식,비건가능), 마라샹궈(일반식,비건가능), 버섯 꿔바로우(일반식,비건가능), 마파두부(일반식,비건가능), 건두부무침(일반식,비건가능), 어향가지(일반식,비건가능)"
848,치아바타 몽스,양식,02-2261-0225,중구,서울 중구 퇴계로 199,"치아바타(비건), 리코타치즈샐러드(락토,비건가능)"
849,칙피스,양식,02-6956-6780,강남구,서울 강남구 강남대로152길 69,"팔라펠 버거(락토,비건가능), 더 비건 버거(비건), 오리지널 허무스(비건), 사비흐 허무스(비건), 팔라펠 샐러드(비건), 사비흐 샐러드(비건), 아보카도 샐러드(비건), 팔라펠 라이스(비건), 통구이 콜리플라워(비건), 감자튀김(락토,비건가능), 더 비건 샐러드(비건)"
850,칙피스 (성수),양식,0507-1352-0248,성동구,서울 성동구 연무장5길 9-16 블루스톤타워 1층 101호,"팔라펠 버거(락토,비건가능), 더 비건 버거(비건), 오리지널 허무스(비건), 사비흐 허무스(비건), 팔라펠 샐러드(비건), 사비흐 샐러드(비건), 아보카도 샐러드(비건), 팔라펠 라이스(비건), 통구이 콜리플라워(비건), 감자튀김(락토,비건가능), 더 비건 샐러드(비건)"
851,카레경반,일식,0507-1405-1034,성북구,서울 성북구 동소문로20다길 2 2층,"기본카레(비건),버섯카레(비건),야채카레(비건),기본카레우동(비건)"
852,카카오다다,카페,02-3446-7007,마포구,서울 마포구 희우정로10길 15 대림1차아파트 상가동 102호,빈투바 ECUADOR 70%(비건)
853,카페 거북이,카페,070-4015-5314,서초구,서울 서초구 방배천로4안길 48,"두유 크림 라떼(비건), 아몬드 크림 모카(비건), 아보카도 바나나 스무디(비건), 망고 바나나 스무디(비건), 베리 스무디(비건), 피나 콜라다 스무디(비건), 홀케이크(비건), 레몬 머랭 타르트(비건), 단호박 타르트(비건), 쇼콜라 체리 타르트(비건), 블루베리 밀푀유(비건), 민트초코 케이크(비건), 피스타치오 라즈베리 케이크(비건), 파블로바(비건), 더블 캐럿 케이크(비건), 초코코넛 볼(비건), 크리스피 스낵(비건), 야채 크래커(비건), 그라놀라 에너지바(비건), 브라우니(비건), 갈레트 후르트(비건)"
854,카페 딜리델리,양식,02-557-4493,강남구,서울 강남구 테헤란로43길 19 지상2층 202호,"올리브유사과바게뜨샌드위치(비건),베지테리언가지토마토라자냐(락토)"
855,카페 시바,양식,070-7543-1339,용산구,서울 용산구 한강대로 276-1,"떡만두국(비건),슈프림버거(비건),버섯리조또(비건),알리오올리오(비건),버섯파스타(비건),시바베지볼라구파스타(비건),비건감바스알하이요(비건),콩불고기덮밥(비건),비빔국수(비건),시바양념후라이드(비건),중화송이표고탕수(비건),청양두부꿔바로우(비건),콩단백짜장파스타(비건)"
856,카페 오르다,카페,02-6289-9189,종로구,서울특별시 종로구 동숭동 187-7 1층,비건크랜베리스콘 (비건)
